                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4079,                 1.5581,                  1.265,                0.47674,                0.38809,                0.36957,                0.23451,                 1.2809,                0.94269,                 1.1749,               0.070067,              0.0033258,              0.0033258
                      1,                 1.2949,                0.93959,                 1.1472,                0.63979,                0.47065,                0.47414,                0.28823,                 1.2591,                 0.8682,                 1.1606,               0.040001,              0.0065933,              0.0065933
                      2,                 1.3354,                0.96559,                 1.1699,                0.70644,                0.37707,                0.36159,                0.20504,                 1.3219,                0.94732,                 1.2173,              0.0098696,              0.0097947,              0.0097947
                      3,                 1.3591,                0.98311,                 1.2009,                0.76466,                0.34649,                0.41193,                0.24163,                 1.2978,                0.84963,                 1.2271,               0.009703,               0.009703,               0.009703
                      4,                 1.3267,                0.91915,                 1.1948,                0.70759,                0.41411,                0.46714,                0.27583,                   1.27,                0.81409,                 1.2029,               0.009703,               0.009703,               0.009703
                      5,                 1.2989,                0.87609,                  1.186,                0.71412,                0.47803,                0.47199,                0.27745,                 1.2345,                0.78929,                 1.2055,               0.009604,               0.009604,               0.009604
                      6,                 1.2786,                0.84035,                 1.1778,                0.83189,                0.40245,                0.58559,                0.33732,                 1.2709,                0.76406,                 1.2124,               0.009505,               0.009505,               0.009505
                      7,                 1.2654,                0.82192,                 1.1715,                0.67365,                0.46855,                0.55165,                0.31109,                 1.2346,                0.72315,                 1.1953,               0.009406,               0.009406,               0.009406
                      8,                 1.2543,                0.80836,                 1.1665,                0.65768,                 0.5014,                0.65275,                0.39111,                 1.2257,                 0.6827,                 1.1952,               0.009307,               0.009307,               0.009307
                      9,                 1.2387,                0.78507,                 1.1595,                0.49593,                 0.4858,                0.52828,                0.32446,                 1.2069,                0.68406,                 1.1885,               0.009208,               0.009208,               0.009208
                     10,                 1.2338,                0.76825,                 1.1541,                0.65161,                0.48617,                0.55882,                0.35136,                 1.1995,                0.67573,                 1.1786,               0.009109,               0.009109,               0.009109
                     11,                 1.2215,                0.75589,                 1.1453,                0.63353,                0.54639,                0.67092,                0.42589,                 1.1974,                0.66836,                 1.1773,                0.00901,                0.00901,                0.00901
                     12,                 1.2201,                0.75077,                 1.1474,                0.67515,                0.52846,                0.55077,                 0.3369,                 1.1957,                0.66588,                 1.1809,               0.008911,               0.008911,               0.008911
                     13,                 1.2106,                0.73686,                 1.1452,                0.78749,                0.49767,                0.66708,                0.40569,                 1.2024,                0.64041,                 1.1856,               0.008812,               0.008812,               0.008812
                     14,                 1.2033,                0.72703,                 1.1425,                 0.6998,                0.56843,                0.60735,                0.36996,                 1.1872,                0.63077,                 1.1809,               0.008713,               0.008713,               0.008713
                     15,                 1.1971,                0.71652,                 1.1398,                 0.6534,                 0.6832,                 0.6914,                0.43046,                 1.1948,                0.62594,                 1.1809,               0.008614,               0.008614,               0.008614
                     16,                 1.1933,                0.71091,                 1.1391,                0.54383,                0.70348,                0.63958,                0.38998,                 1.1895,                0.61974,                 1.1861,               0.008515,               0.008515,               0.008515
                     17,                 1.1898,                0.70228,                 1.1313,                0.66514,                0.64874,                0.68625,                0.40901,                 1.1761,                0.62272,                 1.1714,               0.008416,               0.008416,               0.008416
                     18,                 1.1847,                0.69789,                 1.1334,                0.69524,                0.64463,                0.68519,                0.43005,                 1.1809,                0.61324,                 1.1742,               0.008317,               0.008317,               0.008317
                     19,                 1.1783,                0.68859,                 1.1265,                0.65298,                0.65839,                0.69327,                 0.4242,                 1.1809,                0.61213,                 1.1752,               0.008218,               0.008218,               0.008218
                     20,                 1.1722,                 0.6791,                 1.1268,                0.68416,                 0.6783,                 0.7047,                0.40451,                   1.17,                0.59089,                 1.1706,               0.008119,               0.008119,               0.008119
                     21,                 1.1706,                0.67073,                  1.125,                0.70611,                0.66598,                0.70733,                0.43812,                 1.1835,                0.58986,                 1.1704,                0.00802,                0.00802,                0.00802
                     22,                 1.1636,                0.66834,                 1.1234,                0.64065,                0.67958,                0.71119,                0.46092,                 1.1729,                0.58781,                 1.1735,               0.007921,               0.007921,               0.007921
                     23,                 1.1564,                0.65973,                 1.1214,                0.63278,                0.71603,                0.69977,                0.44625,                  1.174,                  0.574,                 1.1666,               0.007822,               0.007822,               0.007822
                     24,                 1.1488,                0.65527,                 1.1147,                0.72327,                0.66829,                0.71129,                0.42795,                 1.1715,                0.57801,                 1.1715,               0.007723,               0.007723,               0.007723
                     25,                 1.1483,                0.65085,                 1.1209,                0.57824,                0.75728,                0.71022,                0.44336,                 1.1795,                0.57103,                 1.1805,               0.007624,               0.007624,               0.007624
                     26,                 1.1497,                0.64342,                 1.1139,                0.59074,                0.74799,                0.70948,                0.46783,                 1.1727,                0.56622,                 1.1692,               0.007525,               0.007525,               0.007525
