                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5303,                  2.177,                 1.3337,                0.82934,                0.29173,                0.31791,                0.18517,                  1.412,                 1.2411,                 1.3298,               0.070067,              0.0033258,              0.0033258
                      1,                 1.3951,                 1.2401,                 1.2439,                0.77931,                0.36974,                0.39767,                0.23115,                 1.3056,                  0.965,                 1.2514,               0.040001,              0.0065933,              0.0065933
                      2,                  1.407,                 1.1889,                 1.2424,                 0.6147,                0.36721,                0.33715,                0.18422,                 1.3756,                 1.2433,                 1.2853,              0.0098696,              0.0097947,              0.0097947
                      3,                  1.419,                 1.1413,                 1.2558,                0.71027,                 0.3322,                 0.3797,                0.21407,                 1.3697,                0.96001,                 1.2919,               0.009703,               0.009703,               0.009703
                      4,                 1.3832,                 1.0548,                 1.2383,                0.73388,                0.31731,                0.38315,                0.22014,                 1.3239,                0.96858,                 1.2525,               0.009703,               0.009703,               0.009703
                      5,                 1.3554,                0.99606,                 1.2241,                0.61654,                0.42841,                0.43953,                0.25123,                 1.2834,                0.89986,                  1.239,               0.009604,               0.009604,               0.009604
                      6,                 1.3325,                0.95343,                 1.2131,                0.67901,                0.38589,                0.43198,                0.24745,                 1.3018,                0.84532,                 1.2472,               0.009505,               0.009505,               0.009505
                      7,                 1.3237,                0.92517,                  1.206,                0.59135,                0.43775,                0.44052,                0.26305,                 1.2742,                0.81197,                 1.2342,               0.009406,               0.009406,               0.009406
                      8,                  1.314,                0.91052,                 1.2028,                0.58489,                 0.4751,                0.50164,                0.28969,                 1.2719,                0.77428,                 1.2328,               0.009307,               0.009307,               0.009307
                      9,                 1.3003,                0.88628,                 1.1956,                0.60585,                0.46298,                0.47353,                0.27656,                  1.262,                 0.7957,                 1.2255,               0.009208,               0.009208,               0.009208
                     10,                 1.2924,                0.86839,                 1.1897,                0.60484,                0.48662,                0.49578,                0.29756,                 1.2379,                 0.7552,                 1.2125,               0.009109,               0.009109,               0.009109
                     11,                 1.2824,                0.85438,                 1.1844,                0.69185,                0.48133,                0.51886,                0.30479,                 1.2366,                0.74627,                 1.2108,                0.00901,                0.00901,                0.00901
                     12,                 1.2824,                0.85718,                 1.1869,                0.64619,                0.49629,                 0.5119,                0.30864,                 1.2442,                0.73909,                  1.212,               0.008911,               0.008911,               0.008911
                     13,                 1.2727,                0.83726,                 1.1802,                0.69811,                0.47854,                 0.5174,                0.30581,                 1.2365,                0.72824,                 1.2029,               0.008812,               0.008812,               0.008812
                     14,                 1.2662,                  0.831,                 1.1777,                0.65854,                0.50352,                0.52763,                 0.3148,                 1.2235,                 0.7172,                 1.2031,               0.008713,               0.008713,               0.008713
                     15,                 1.2615,                0.82474,                 1.1755,                0.77498,                0.50677,                0.53971,                 0.3246,                 1.2115,                 0.7126,                  1.193,               0.008614,               0.008614,               0.008614
                     16,                 1.2587,                0.81586,                  1.174,                0.64944,                0.49984,                0.59474,                0.33583,                 1.2111,                0.70119,                 1.1957,               0.008515,               0.008515,               0.008515
                     17,                 1.2533,                0.80885,                 1.1675,                0.51877,                0.66548,                0.65465,                0.37734,                 1.2166,                0.68998,                 1.1994,               0.008416,               0.008416,               0.008416
                     18,                 1.2533,                0.80132,                  1.169,                0.64784,                0.49335,                0.65052,                0.35657,                 1.2193,                0.70111,                 1.1958,               0.008317,               0.008317,               0.008317
                     19,                 1.2455,                0.79369,                 1.1632,                0.64983,                 0.5392,                0.56973,                0.33772,                 1.2096,                0.68164,                 1.1944,               0.008218,               0.008218,               0.008218
                     20,                 1.2408,                 0.7827,                 1.1664,                0.70267,                0.53467,                0.68329,                0.35749,                 1.2006,                0.67532,                 1.1894,               0.008119,               0.008119,               0.008119
                     21,                 1.2382,                0.78451,                 1.1636,                0.64803,                0.52342,                0.66353,                0.36896,                  1.208,                0.67147,                  1.195,                0.00802,                0.00802,                0.00802
                     22,                 1.2349,                 0.7794,                 1.1612,                0.62528,                0.53722,                0.61109,                0.36189,                 1.1971,                0.66172,                 1.1889,               0.007921,               0.007921,               0.007921
                     23,                 1.2299,                0.77451,                 1.1602,                0.67547,                0.53224,                0.62108,                0.37555,                 1.1901,                0.65676,                 1.1846,               0.007822,               0.007822,               0.007822
