                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.576,                 2.6442,                 1.3546,                0.71765,                0.51357,                0.51334,                0.35074,                 1.3772,                 1.4669,                 1.2743,                0.07008,              0.0033244,              0.0033244
                      1,                 1.4361,                 1.5767,                 1.2655,                0.56481,                0.74107,                0.68412,                0.46838,                 1.4782,                  1.483,                 1.3139,               0.039948,               0.006526,               0.006526
                      2,                 1.4405,                 1.4867,                 1.2636,                0.66732,                0.52338,                0.36693,                0.20061,                 1.5655,                 1.4981,                 1.3628,              0.0096844,              0.0095955,              0.0095955
                      3,                 1.4537,                 1.4441,                 1.2764,                0.32683,                0.74777,                0.41649,                0.24354,                 1.3434,                 1.4429,                 1.2494,               0.009406,               0.009406,               0.009406
                      4,                 1.4195,                 1.3384,                 1.2626,                0.47249,                0.73407,                 0.4994,                0.28203,                 1.4496,                  1.226,                 1.3101,               0.009406,               0.009406,               0.009406
                      5,                 1.3894,                  1.266,                  1.247,                0.75644,                 0.4841,                0.48025,                0.34011,                  1.411,                 1.2737,                 1.2819,               0.009208,               0.009208,               0.009208
                      6,                 1.3668,                 1.2271,                 1.2341,                0.77768,                0.48627,                 0.5556,                0.40479,                 1.2988,                 1.1535,                 1.2246,                0.00901,                0.00901,                0.00901
                      7,                 1.3577,                 1.1924,                 1.2313,                0.57979,                0.57053,                0.60103,                0.42564,                 1.2838,                 1.1948,                 1.2507,               0.008812,               0.008812,               0.008812
                      8,                 1.3383,                 1.1659,                 1.2177,                0.47961,                0.83704,                0.61986,                0.44169,                   1.36,                 1.2053,                 1.2951,               0.008614,               0.008614,               0.008614
                      9,                 1.3276,                 1.1396,                 1.2102,                 0.3591,                0.84847,                0.54435,                0.37614,                 1.3082,                 1.1012,                 1.2658,               0.008416,               0.008416,               0.008416
                     10,                 1.3159,                 1.1257,                   1.21,                0.54594,                 0.8199,                0.73413,                0.50566,                 1.3422,                 1.1496,                  1.253,               0.008218,               0.008218,               0.008218
                     11,                 1.3105,                 1.1214,                 1.2059,                0.73083,                 0.5764,                 0.4866,                0.30898,                 1.3116,                 1.0597,                 1.2485,                0.00802,                0.00802,                0.00802
                     12,                 1.2966,                 1.0994,                 1.1976,                0.35026,                0.86066,                 0.5649,                0.40988,                 1.3095,                 1.1187,                 1.2248,               0.007822,               0.007822,               0.007822
                     13,                 1.2922,                  1.087,                 1.1953,                0.71429,                0.50948,                0.73416,                0.48009,                 1.2897,                 1.1126,                   1.22,               0.007624,               0.007624,               0.007624
                     14,                  1.285,                 1.0779,                 1.1924,                0.52914,                0.68537,                 0.6162,                0.48297,                 1.2427,                  1.051,                 1.2283,               0.007426,               0.007426,               0.007426
                     15,                 1.2775,                 1.0657,                 1.1882,                0.60278,                0.62896,                0.63847,                0.39095,                 1.2851,                 1.1159,                 1.2201,               0.007228,               0.007228,               0.007228
                     16,                 1.2688,                 1.0502,                 1.1845,                0.47809,                0.83275,                0.61399,                0.41423,                  1.297,                 1.0374,                 1.2175,                0.00703,                0.00703,                0.00703
                     17,                 1.2647,                 1.0417,                 1.1808,                0.46877,                0.90073,                0.65353,                0.40373,                 1.3068,                 1.0787,                 1.2617,               0.006832,               0.006832,               0.006832
                     18,                 1.2605,                 1.0403,                 1.1799,                0.44461,                0.79477,                0.60664,                0.40767,                 1.3262,                 1.1043,                 1.2728,               0.006634,               0.006634,               0.006634
                     19,                 1.2562,                 1.0273,                  1.177,                0.49873,                0.90418,                0.63055,                0.39358,                 1.2653,                 1.0592,                 1.2317,               0.006436,               0.006436,               0.006436
                     20,                 1.2439,                 1.0274,                 1.1728,                0.49682,                0.89477,                0.65086,                0.45488,                 1.2622,                 1.0253,                 1.2088,               0.006238,               0.006238,               0.006238
                     21,                 1.2489,                  1.024,                 1.1731,                0.37644,                0.83722,                0.50022,                0.34768,                 1.2789,                 1.0782,                 1.2144,                0.00604,                0.00604,                0.00604
                     22,                 1.2414,                 1.0112,                 1.1674,                 0.4281,                0.91394,                0.64355,                0.44724,                 1.3284,                 1.0525,                 1.2628,               0.005842,               0.005842,               0.005842
                     23,                 1.2309,                0.99345,                 1.1613,                0.40796,                0.89965,                0.66045,                0.42384,                 1.2819,                 1.0073,                 1.2223,               0.005644,               0.005644,               0.005644
                     24,                 1.2315,                 1.0021,                 1.1617,                0.41776,                0.87218,                0.53175,                0.36615,                  1.232,                 1.0104,                 1.2043,               0.005446,               0.005446,               0.005446
                     25,                 1.2244,                0.98665,                 1.1588,                0.55545,                0.84704,                0.63183,                0.44759,                 1.2319,                 1.0004,                 1.2306,               0.005248,               0.005248,               0.005248
                     26,                 1.2267,                0.98424,                 1.1622,                0.46491,                  0.884,                0.64633,                0.46125,                 1.2669,                0.99592,                 1.2276,                0.00505,                0.00505,                0.00505
                     27,                 1.2206,                0.97377,                 1.1557,                0.53394,                0.83275,                 0.7253,                 0.5519,                 1.2667,                  1.014,                 1.2284,               0.004852,               0.004852,               0.004852
                     28,                 1.2143,                0.96516,                 1.1563,                0.40783,                0.89965,                 0.7527,                0.56795,                 1.2454,                0.97398,                  1.224,               0.004654,               0.004654,               0.004654
                     29,                 1.2115,                0.96877,                 1.1587,                0.46019,                0.88537,                0.55763,                0.39058,                 1.2191,                0.98297,                 1.2097,               0.004456,               0.004456,               0.004456
