                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4617,                 1.9419,                 1.2422,                0.49896,                0.36257,                0.36573,                0.22455,                 1.3007,                0.93851,                 1.1334,               0.070067,              0.0033258,              0.0033258
                      1,                 1.3206,                0.99314,                 1.1223,                0.54935,                 0.4406,                0.44604,                0.25995,                 1.2729,                0.86697,                 1.1182,               0.040001,              0.0065933,              0.0065933
                      2,                 1.3555,                 1.0092,                 1.1326,                0.72413,                 0.3567,                0.39193,                0.22588,                 1.3132,                0.96036,                 1.1366,              0.0098696,              0.0097947,              0.0097947
                      3,                 1.3755,                 1.0173,                 1.1527,                0.70301,                0.28864,                0.32939,                0.18528,                 1.3481,                 1.0857,                 1.1749,               0.009703,               0.009703,               0.009703
                      4,                 1.3457,                0.96003,                 1.1456,                0.50008,                0.45549,                 0.4756,                0.27468,                 1.2781,                0.84242,                 1.1358,               0.009703,               0.009703,               0.009703
                      5,                 1.3195,                0.91889,                 1.1326,                0.73352,                0.44994,                0.59704,                0.35052,                  1.231,                0.81697,                 1.1139,               0.009604,               0.009604,               0.009604
                      6,                  1.296,                0.88498,                 1.1194,                0.61258,                0.48271,                0.51552,                0.30052,                 1.2403,                0.75305,                 1.1158,               0.009505,               0.009505,               0.009505
                      7,                 1.2833,                 0.8599,                 1.1156,                 0.6148,                0.47473,                0.48821,                0.28877,                 1.2354,                 0.7815,                 1.1096,               0.009406,               0.009406,               0.009406
                      8,                 1.2745,                0.84623,                 1.1087,                0.60707,                0.62111,                0.64593,                0.36649,                  1.232,                0.71924,                 1.1133,               0.009307,               0.009307,               0.009307
                      9,                 1.2619,                0.82582,                 1.1055,                 0.5951,                 0.4841,                0.61945,                0.34526,                 1.2181,                0.74433,                 1.1045,               0.009208,               0.009208,               0.009208
                     10,                 1.2544,                 0.8137,                 1.1028,                0.66669,                0.51217,                0.53553,                0.32135,                 1.2182,                0.73316,                 1.1055,               0.009109,               0.009109,               0.009109
                     11,                 1.2435,                0.80209,                 1.0994,                0.86232,                0.47288,                0.56035,                 0.3345,                  1.211,                 0.7178,                 1.1201,                0.00901,                0.00901,                0.00901
                     12,                 1.2419,                0.80119,                  1.098,                0.53654,                0.57203,                0.66844,                0.40546,                 1.2076,                0.69368,                 1.1039,               0.008911,               0.008911,               0.008911
                     13,                 1.2335,                0.78525,                 1.0937,                0.72987,                0.51387,                0.51752,                0.32335,                 1.2102,                0.69468,                  1.098,               0.008812,               0.008812,               0.008812
                     14,                 1.2276,                0.77852,                 1.0895,                0.66379,                0.61261,                0.66174,                0.40412,                 1.1939,                0.68456,                 1.0944,               0.008713,               0.008713,               0.008713
                     15,                 1.2223,                0.76594,                 1.0871,                0.65733,                0.63416,                0.67598,                0.40694,                 1.1931,                0.66932,                 1.0919,               0.008614,               0.008614,               0.008614
                     16,                 1.2183,                0.76171,                 1.0879,                0.69669,                0.62186,                0.68351,                0.41688,                 1.1914,                0.66383,                 1.1016,               0.008515,               0.008515,               0.008515
                     17,                 1.2122,                0.75076,                 1.0849,                0.70495,                0.51462,                0.57313,                0.35493,                 1.1898,                0.64563,                  1.095,               0.008416,               0.008416,               0.008416
                     18,                 1.2132,                0.74927,                 1.0846,                0.52459,                0.72265,                0.67801,                0.42527,                 1.1856,                0.64634,                 1.0925,               0.008317,               0.008317,               0.008317
                     19,                 1.2071,                0.74077,                 1.0794,                0.66798,                0.61834,                0.68093,                0.41262,                 1.1887,                0.64143,                 1.0952,               0.008218,               0.008218,               0.008218
                     20,                 1.1995,                  0.734,                   1.08,                 0.6832,                0.62958,                0.68124,                0.40033,                 1.1728,                0.63725,                 1.0915,               0.008119,               0.008119,               0.008119
                     21,                 1.1999,                0.72476,                 1.0782,                0.61941,                0.65207,                0.68461,                0.42985,                 1.1822,                0.63881,                 1.0918,                0.00802,                0.00802,                0.00802
                     22,                 1.1925,                0.72315,                 1.0739,                0.65571,                0.64066,                0.64329,                0.40783,                 1.1762,                0.62405,                 1.0934,               0.007921,               0.007921,               0.007921
                     23,                 1.1882,                0.71733,                 1.0745,                0.66368,                0.67308,                0.70164,                0.45132,                 1.1742,                0.61876,                 1.0918,               0.007822,               0.007822,               0.007822
                     24,                 1.1789,                0.70952,                 1.0691,                0.58825,                0.53706,                0.61473,                0.38821,                 1.1826,                0.61319,                 1.0958,               0.007723,               0.007723,               0.007723
                     25,                 1.1795,                0.70693,                  1.075,                0.67987,                0.55832,                0.60484,                0.37628,                 1.1765,                0.60535,                 1.0957,               0.007624,               0.007624,               0.007624
                     26,                 1.1843,                0.70088,                 1.0711,                0.56714,                0.74977,                0.70182,                0.44298,                 1.1789,                0.60648,                 1.0958,               0.007525,               0.007525,               0.007525
                     27,                  1.177,                0.69578,                 1.0663,                0.65914,                0.67712,                0.70398,                 0.4332,                 1.1746,                0.60072,                   1.09,               0.007426,               0.007426,               0.007426
